,Od,Id,Sentence,Flag,labels
225,226,63620_200111_226,So ladies and gentlemen they said that couldn't be done.,1.0,1
226,227,63620_200111_227,"The crane rates were then 16.9, the container rates 16.9 an hour.",1.0,1
227,228,63620_200111_228,They are now a fantastically competitive 27.,1.0,1
228,229,63620_200111_229,And that is something that for a generation we were told by the business community of Australia that sooner or later would need to be confronted.,1.0,1
229,230,63620_200111_230,Taxation reform of course has been more in people's minds in recent years.,1.0,1
230,231,63620_200111_231,It was difficult but it was necessary.,1.0,1
231,232,63620_200111_232,"I went to the Australian people in 1998, I stood on this equivalent platform in Parramatta in 1998, and I asked to be judged according to whether or not the Australian people wanted taxation reform.",1.0,1
232,233,63620_200111_233,They voted in favor of it.,1.0,1
233,234,63620_200111_234,"I'm not saying that everybody loves it, not to say that now, but deep down people knew that this was necessary.",1.0,1
234,235,63620_200111_235,And deep down I believe out there all around our country people are saying well we may not have liked it but we did need to have it and thank goodness Howard and Costello had the courage to do it.,1.0,1
235,236,63620_200111_236,Because it has made a difference.,1.0,1
236,237,63620_200111_237,We've had a fantastic exporting year and that's because those exports are cheaper.,1.0,1
237,238,63620_200111_238,We've looked after low income families.,1.0,1
238,239,63620_200111_239,We've looked after people on fixed incomes.,1.0,1
239,240,63620_200111_240,We've protected the position of the pensioners.,1.0,1
240,241,63620_200111_241,The CPI affect has come and gone exactly as we predicted.,1.0,1
241,242,63620_200111_242,There were some difficulties for small business in relation to transition.,1.0,1
242,243,63620_200111_243,I acknowledge that and I thank the small business community of Australia for its patience and understanding in getting used to the new system.,1.0,1
243,244,63620_200111_244,But I would say to them that whatever concerns you may have had about implementation of the new taxation system just remember those up to 20% interest rates when Mr. Keating and Mr. Hawke were Prime Minister.,1.0,1
244,245,63620_200111_245,Just remember the union thuggery that abounded in many of your businesses.,1.0,1
245,246,63620_200111_246,Remember the efforts that we have made to reform the unfair dismissal laws and just imagine how those changes will be rolled back if Labor wins.,1.0,1
246,247,63620_200111_247,And just remember that the company tax rate under tax reform has fallen from 36 cents in the dollar to 30 cents in the dollar and the capital gains tax has been halved for individuals.,1.0,1
247,248,63620_200111_248,"So ladies and gentlemen, we do have a justifiably proud record in the area of economic management.",1.0,1
248,249,63620_200111_249,There can be no doubt that going back to Labor at this crucial period of time in Australia's economic history will put at risk so much of what we have achieved over the past few years.,1.0,1
249,250,63620_200111_250,They were bad economic managers.,1.0,1
250,251,63620_200111_251,They now claim to be born again believers in budget surpluses.,1.0,1
251,252,63620_200111_252,Once again I ask you to remember what they did and don't listen to what they say.,1.0,1
252,253,63620_200111_253,"They left us with an horrendous debt legacy, they drove interest rates to unconscionable heights, they were insensitive to the plight of the average worker through levels of unemployment.",1.0,1
253,254,63620_200111_254,"By contrast we've reduced interest rates, despite their obstruction we've paid back debt, we've generated 830,000 more jobs, we have a wonderful story to tell, and that is the foundation of the strength of the Australian economy in the years ahead.",1.0,1
254,255,63620_200111_255,"My friends, the last five and a half years has been an occasion of immense privilege and immense opportunity for me and for the members of my team.",1.0,1
255,256,63620_200111_256,And it has been and it always will be a team.,1.0,1
256,257,63620_200111_257,It's a group of men and women beholden to no one interest group in Australia.,1.0,1
257,258,63620_200111_258,I remember when I stood in the then Wentworth Hotel in March of 1996 on the evening that we won the election and I pledged to give my all to work for the people of Australia and I promised then that I would govern for everyone.,1.0,1
258,259,63620_200111_259,I said then that it was a proud boast of the leader of the Liberal Party that he was not owned by any section of the Australian community and that remains the case now.,1.0,1
259,260,63620_200111_260,We are believers in profitable businesses but we are not owned by business.,,5
260,261,63620_200111_261,We are believers that the great mainstream of the Australian community holds within its hands the capacity to achieve even greater results in the years ahead.,,5
261,262,63620_200111_262,I started by saying that this was the best country in the world in which to live and I've outlined some of the plans we have to make it even a better place in which to live.,,5
262,263,63620_200111_263,"Although I've been in politics now for a number of years I have never felt a greater sense of dedication, enthusiasm and energetic commitment to the task that lies ahead.",,5
263,264,63620_200111_264,We do face unusual difficulties at the present time.,1.0,1
264,265,63620_200111_265,"They will test me if I am re-elected, they will test my colleagues, they will test the Australian people.",,5
265,266,63620_200111_266,But I am comforted by two great things.,1.0,1
266,267,63620_200111_267,I'm comforted by the fact that we have achieved an internal economic and social strength that enables us to face the future with conviction and strength.,1.0,1
267,268,63620_200111_268,But I'm also comforted by something even more powerful than that and that is the spirit of the Australian people.,1.0,1
268,269,63620_200111_269,The thing that drives me most in public life is the spirit of the Australian people.,1.0,1
269,270,63620_200111_270,"Their great capacity to reach out to each other and work together when there is a common challenge, their essential decency and their openness, their willingness to have a go, their willingness to look after those in the community who are genuinely in need of help but equally to require of everyone that they do their bit for the common good.",1.0,1
270,271,63620_200111_271,And I have an unshakeable belief that we will see our way through as a nation these current great difficulties.,,3
271,272,63620_200111_272,We'll see it through because of our spirit.,,2
272,273,63620_200111_273,I want to be part of that seeing through.,,1
273,274,63620_200111_274,"I want to lead this country in these very difficult and dangerous times because I believe my instincts, my energy, my experience, my successes to date, and my sheer commitment to the land I love best equip me for that job.",,1
