,oid,Id,sentence,cmp_code,eu_code,Flag,Context,labels
138,138,63320_201008_138,"Management of the school staffing profile, including support staff, which will involve determining the right mix of staff, recruitment and staff selection.",506,,,"Responsibility for finance and the school budget, which will initially involve a single budget for staffing. Schools will then move to a one-line school budget that allows them to fully manage the allocation of all resources, to meet the unique needs of students at each school and drive improved student performance.",1
139,139,63320_201008_139,Principals will have a greater role in staff performance management within existing enterprise bargaining arrangements.,506,,,"Schools will then move to a one-line school budget that allows them to fully manage the allocation of all resources, to meet the unique needs of students at each school and drive improved student performance. Management of the school staffing profile, including support staff, which will involve determining the right mix of staff, recruitment and staff selection.",1
140,140,63320_201008_140,"The specific functions each school will exercise will be determined by the school and the education authority through an application process, and will be based upon the school's size and their current level of independence.",506,,,"Management of the school staffing profile, including support staff, which will involve determining the right mix of staff, recruitment and staff selection. Principals will have a greater role in staff performance management within existing enterprise bargaining arrangements.",1
141,141,63320_201008_141,"The Gillard Labor Government will invest $484 million by 2018 to rollout these reforms, including $71. 9 million over the forward estimates.",506,,,"Principals will have a greater role in staff performance management within existing enterprise bargaining arrangements. The specific functions each school will exercise will be determined by the school and the education authority through an application process, and will be based upon the school's size and their current level of independence.",7
142,142,63320_201008_142,"Participating schools will receive a start up grant of between $40,000 and $50,000, as well as support and training, so they can effectively undertake these new responsibilities.",506,,,"The specific functions each school will exercise will be determined by the school and the education authority through an application process, and will be based upon the school's size and their current level of independence. The Gillard Labor Government will invest $484 million by 2018 to rollout these reforms, including $71. 9 million over the forward estimates.",7
143,143,63320_201008_143,"In total, $47. 3 million over the next four years will be provided to schools in start-up funding.",506,,,"The Gillard Labor Government will invest $484 million by 2018 to rollout these reforms, including $71. 9 million over the forward estimates. Participating schools will receive a start up grant of between $40,000 and $50,000, as well as support and training, so they can effectively undertake these new responsibilities.",7
144,144,63320_201008_144,The Gillard Labor Government will also provide $17. 7 million over the next four years to school systems ñ government and non-government ñ to support this transition.,506,,,"Participating schools will receive a start up grant of between $40,000 and $50,000, as well as support and training, so they can effectively undertake these new responsibilities. In total, $47. 3 million over the next four years will be provided to schools in start-up funding.",7
145,145,63320_201008_145,"An additional $6. 9 million will fund implementation, including the development of a specific training course for principals on leading and managing a more autonomous school, the development of innovative governance models and a longitudinal evaluation.",506,,,"In total, $47. 3 million over the next four years will be provided to schools in start-up funding. The Gillard Labor Government will also provide $17. 7 million over the next four years to school systems ñ government and non-government ñ to support this transition.",7
146,146,63320_201008_146,This reform will enable school communities to use their local knowledge and understanding of the needs of their students to allocate resources and make school based decisions.,506,,,"The Gillard Labor Government will also provide $17. 7 million over the next four years to school systems ñ government and non-government ñ to support this transition. An additional $6. 9 million will fund implementation, including the development of a specific training course for principals on leading and managing a more autonomous school, the development of innovative governance models and a longitudinal evaluation.",1
147,147,63320_201008_147,This will drive localised educational responses and better learning outcomes for students.,506,,,"An additional $6. 9 million will fund implementation, including the development of a specific training course for principals on leading and managing a more autonomous school, the development of innovative governance models and a longitudinal evaluation. This reform will enable school communities to use their local knowledge and understanding of the needs of their students to allocate resources and make school based decisions.",1
148,148,63320_201008_148,Teach Next.,,,1.0,This reform will enable school communities to use their local knowledge and understanding of the needs of their students to allocate resources and make school based decisions. This will drive localised educational responses and better learning outcomes for students.,1
149,149,63320_201008_149,The Gillard Labor Government knows the difference a great teacher can make in the life of a studentñ a reality that is supported by extensive educational research.,506,,,This will drive localised educational responses and better learning outcomes for students. Teach Next.,1
150,150,63320_201008_150,"That is why the Government is committed to recruiting, training, retaining and rewarding great teachers.",506,,,Teach Next. The Gillard Labor Government knows the difference a great teacher can make in the life of a studentñ a reality that is supported by extensive educational research.,1
151,151,63320_201008_151,"A Gillard Labor Government will establish Teach Nextñ to tap into the knowledge of highly skilled and qualified professionals in areas such as maths and science, so they can share their expertise and passion with Australian students.",506,,,"The Gillard Labor Government knows the difference a great teacher can make in the life of a studentñ a reality that is supported by extensive educational research. That is why the Government is committed to recruiting, training, retaining and rewarding great teachers.",1
152,152,63320_201008_152,"Many highly skilled and experienced individuals, like accountants, bankers, engineers and scientists have considered a career in teaching, but have been put off by the time it takes to meet the qualification hurdles.",506,,,"That is why the Government is committed to recruiting, training, retaining and rewarding great teachers. A Gillard Labor Government will establish Teach Nextñ to tap into the knowledge of highly skilled and qualified professionals in areas such as maths and science, so they can share their expertise and passion with Australian students.",1
153,153,63320_201008_153,"Teach Next will offer experienced professionals a new option, by providing specialised intensive training of around eight weeks duration that will enable them to quickly move into the classroom with appropriate support and start earning a wage.",506,,,"A Gillard Labor Government will establish Teach Nextñ to tap into the knowledge of highly skilled and qualified professionals in areas such as maths and science, so they can share their expertise and passion with Australian students. Many highly skilled and experienced individuals, like accountants, bankers, engineers and scientists have considered a career in teaching, but have been put off by the time it takes to meet the qualification hurdles.",1
154,154,63320_201008_154,National Curriculum.,,,1.0,"Many highly skilled and experienced individuals, like accountants, bankers, engineers and scientists have considered a career in teaching, but have been put off by the time it takes to meet the qualification hurdles. Teach Next will offer experienced professionals a new option, by providing specialised intensive training of around eight weeks duration that will enable them to quickly move into the classroom with appropriate support and start earning a wage.",1
155,155,63320_201008_155,Federal Labor has delivered a Curriculum that is world class.,506,,,"Teach Next will offer experienced professionals a new option, by providing specialised intensive training of around eight weeks duration that will enable them to quickly move into the classroom with appropriate support and start earning a wage. National Curriculum.",1
156,156,63320_201008_156,"We have started with the basics; English, maths, science and history.",506,,,National Curriculum. Federal Labor has delivered a Curriculum that is world class.,1
157,157,63320_201008_157,"The National Curriculum is one of the first in the world to be delivered online, making it dynamic, easily updated and providing more opportunities to enhance learning experiences and student engagement.",506,,,"Federal Labor has delivered a Curriculum that is world class. We have started with the basics; English, maths, science and history.",1
158,158,63320_201008_158,Labor is committed to delivering a world class education system to ensure Australians are armed with the knowledge and skills to meet the demands of the 21st Century.,506,,,"We have started with the basics; English, maths, science and history. The National Curriculum is one of the first in the world to be delivered online, making it dynamic, easily updated and providing more opportunities to enhance learning experiences and student engagement.",6
159,159,63320_201008_159," As part of this commitment, the Labor Government has released, for final consultation, Australia's first national curriculum.",506,,,"The National Curriculum is one of the first in the world to be delivered online, making it dynamic, easily updated and providing more opportunities to enhance learning experiences and student engagement. Labor is committed to delivering a world class education system to ensure Australians are armed with the knowledge and skills to meet the demands of the 21st Century.",1
160,160,63320_201008_160,Key policy points.,,,1.0,"Labor is committed to delivering a world class education system to ensure Australians are armed with the knowledge and skills to meet the demands of the 21st Century.  As part of this commitment, the Labor Government has released, for final consultation, Australia's first national curriculum.",1
161,161,63320_201008_161,"The national curriculum covers the subjects of English, maths, science and history and will be taught nation-wide from 2011.",506,,," As part of this commitment, the Labor Government has released, for final consultation, Australia's first national curriculum. Key policy points.",1
162,162,63320_201008_162,The English curriculum has an emphasis on the basics.,506,,,"Key policy points. The national curriculum covers the subjects of English, maths, science and history and will be taught nation-wide from 2011.",1
163,163,63320_201008_163,This includes critical skills like sounding out letters of the alphabet and grammar.,506,,,"The national curriculum covers the subjects of English, maths, science and history and will be taught nation-wide from 2011. The English curriculum has an emphasis on the basics.",1
164,164,63320_201008_164,"Maths will focus on essential mathematical skills in number and algebra, measurement and geometry, probability and statistics.",506,,,The English curriculum has an emphasis on the basics. This includes critical skills like sounding out letters of the alphabet and grammar.,1
165,165,63320_201008_165,The science curriculum will ensure students develop the skills they need to live in a technologically advanced age.,506,,,"This includes critical skills like sounding out letters of the alphabet and grammar. Maths will focus on essential mathematical skills in number and algebra, measurement and geometry, probability and statistics.",1
166,166,63320_201008_166,A key feature of the draft Curriculum for history is the treatment of Australian history within a regional and world history context.,506,,,"Maths will focus on essential mathematical skills in number and algebra, measurement and geometry, probability and statistics. The science curriculum will ensure students develop the skills they need to live in a technologically advanced age.",1
167,167,63320_201008_167,This allows students to better understand the richness of the Australian story.,506,,,The science curriculum will ensure students develop the skills they need to live in a technologically advanced age. A key feature of the draft Curriculum for history is the treatment of Australian history within a regional and world history context.,1
168,168,63320_201008_168,Further details on the curriculum's content are available here.,,,1.0,A key feature of the draft Curriculum for history is the treatment of Australian history within a regional and world history context. This allows students to better understand the richness of the Australian story.,1
169,169,63320_201008_169,Labor is committed to an equal and transparent education system and believes every student can be challenged to achieve at a high level.,506,,,This allows students to better understand the richness of the Australian story. Further details on the curriculum's content are available here.,6
170,170,63320_201008_170, Australian parents can now be confident their child is being taught from a world class curriculum regardless of the school they attend or their location.,506,,,Further details on the curriculum's content are available here. Labor is committed to an equal and transparent education system and believes every student can be challenged to achieve at a high level.,1
171,171,63320_201008_171,The national curriculum defines standards of achievement for each year level.,506,,,Labor is committed to an equal and transparent education system and believes every student can be challenged to achieve at a high level.  Australian parents can now be confident their child is being taught from a world class curriculum regardless of the school they attend or their location.,1
172,172,63320_201008_172," For the first time, every student, parent and teacher will know what is expected at every stage of schooling.",506,,, Australian parents can now be confident their child is being taught from a world class curriculum regardless of the school they attend or their location. The national curriculum defines standards of achievement for each year level.,1
173,173,63320_201008_173,"The 80, 000 families who move interstate each year can now be assured their child's education will not be disrupted.",506,,,"The national curriculum defines standards of achievement for each year level.  For the first time, every student, parent and teacher will know what is expected at every stage of schooling.",7
174,174,63320_201008_174, They will now be able to move schools without the disadvantages of having to learn a new curriculum and will benefit from a nationally consistent education system.,506,,," For the first time, every student, parent and teacher will know what is expected at every stage of schooling. The 80, 000 families who move interstate each year can now be assured their child's education will not be disrupted.",1
175,175,63320_201008_175,This curriculum is world class.,506,,,"The 80, 000 families who move interstate each year can now be assured their child's education will not be disrupted.  They will now be able to move schools without the disadvantages of having to learn a new curriculum and will benefit from a nationally consistent education system.",2
176,176,63320_201008_176,"It is one of the first in the world to be delivered online making it dynamic, and easily updated, unlike the static, hard-copy form which currently exists in each State and Territory.",506,,, They will now be able to move schools without the disadvantages of having to learn a new curriculum and will benefit from a nationally consistent education system. This curriculum is world class.,1
177,177,63320_201008_177,ACARA will hold public Information Sessions for the draft Australian Curriculum around Australia.,506,,,"This curriculum is world class. It is one of the first in the world to be delivered online making it dynamic, and easily updated, unlike the static, hard-copy form which currently exists in each State and Territory.",1
178,178,63320_201008_178,This is a significant achievement; 110 years after Federation Australia finally has a national curriculum.,506,,,"It is one of the first in the world to be delivered online making it dynamic, and easily updated, unlike the static, hard-copy form which currently exists in each State and Territory. ACARA will hold public Information Sessions for the draft Australian Curriculum around Australia.",2
179,179,63320_201008_179, This is one element of Labor's Education Revolution which is transforming Australia's education system to meet the demands of the future.,506,,,ACARA will hold public Information Sessions for the draft Australian Curriculum around Australia. This is a significant achievement; 110 years after Federation Australia finally has a national curriculum.,1
180,180,63320_201008_180,Superannuation.,,,1.0,This is a significant achievement; 110 years after Federation Australia finally has a national curriculum.  This is one element of Labor's Education Revolution which is transforming Australia's education system to meet the demands of the future.,1
181,181,63320_201008_181,Australia's ageing population creates a number of challenges for our nation moving forward.,706,,, This is one element of Labor's Education Revolution which is transforming Australia's education system to meet the demands of the future. Superannuation.,1
182,182,63320_201008_182,One challenge is to ensure that we have sufficient savings to provide for our retirements.,706,,,Superannuation. Australia's ageing population creates a number of challenges for our nation moving forward.,3
183,183,63320_201008_183,Australia's superannuation system is unique and provided an important source of finance for Australian businesses during the global financial crisis.,706,,,Australia's ageing population creates a number of challenges for our nation moving forward. One challenge is to ensure that we have sufficient savings to provide for our retirements.,1
184,184,63320_201008_184,But we need to ensure our superannuation savings are enough to provide a secure and dignified retirement to working Australians in the future.,706,,,One challenge is to ensure that we have sufficient savings to provide for our retirements. Australia's superannuation system is unique and provided an important source of finance for Australian businesses during the global financial crisis.,1
185,185,63320_201008_185,The Government will increase the superannuation guarantee to 12 per cent.,706,,,Australia's superannuation system is unique and provided an important source of finance for Australian businesses during the global financial crisis. But we need to ensure our superannuation savings are enough to provide a secure and dignified retirement to working Australians in the future.,5
186,186,63320_201008_186,This is expected to benefit around 8. 4 million employees.,706,,,But we need to ensure our superannuation savings are enough to provide a secure and dignified retirement to working Australians in the future. The Government will increase the superannuation guarantee to 12 per cent.,5
187,187,63320_201008_187,The Government will also extend the superannuation guarantee to cover older workers up to age 75.,706,,,The Government will increase the superannuation guarantee to 12 per cent. This is expected to benefit around 8. 4 million employees.,5
188,188,63320_201008_188,The government will also improve the fairness of the superannuation through a new concession worth up to $500 for 3. 5 million low income earners who currently get no superannuation concession for their compulsory savings.,706,,,This is expected to benefit around 8. 4 million employees. The Government will also extend the superannuation guarantee to cover older workers up to age 75.,7
189,189,63320_201008_189,"The government recognises that many older Australians wish to make catch-up contributions to superannuation and will double the contributions cap to $50,000 from 2012-13 for people aged over 50 with balances under $500,000.",706,,,The Government will also extend the superannuation guarantee to cover older workers up to age 75. The government will also improve the fairness of the superannuation through a new concession worth up to $500 for 3. 5 million low income earners who currently get no superannuation concession for their compulsory savings.,7
190,190,63320_201008_190,"These changes are expected to increase Australia's pool of superannuation savings by $85 billion over the next ten years and are projected to increase the retirement benefit of an average worker aged 30 by $108,000.",706,,,"The government will also improve the fairness of the superannuation through a new concession worth up to $500 for 3. 5 million low income earners who currently get no superannuation concession for their compulsory savings. The government recognises that many older Australians wish to make catch-up contributions to superannuation and will double the contributions cap to $50,000 from 2012-13 for people aged over 50 with balances under $500,000.",7
191,191,63320_201008_191,A Tax Plan for Our Future.,,,1.0,"The government recognises that many older Australians wish to make catch-up contributions to superannuation and will double the contributions cap to $50,000 from 2012-13 for people aged over 50 with balances under $500,000. These changes are expected to increase Australia's pool of superannuation savings by $85 billion over the next ten years and are projected to increase the retirement benefit of an average worker aged 30 by $108,000.",1
192,192,63320_201008_192,The Government is determined to ensure that Australia makes the most of the opportunities presented by commodity boom mark II.,402,,,"These changes are expected to increase Australia's pool of superannuation savings by $85 billion over the next ten years and are projected to increase the retirement benefit of an average worker aged 30 by $108,000. A Tax Plan for Our Future.",1
193,193,63320_201008_193,"Our tax reforms will ensure Australians get a better return from this commodity boom, and that the proceeds aren't wasted like they were under the previous Liberal government.",402,,,A Tax Plan for Our Future. The Government is determined to ensure that Australia makes the most of the opportunities presented by commodity boom mark II.,1
194,194,63320_201008_194,"We will get a fairer return for the Australian community from our non-renewable natural resources, through our resource rent tax framework.",501,,,"The Government is determined to ensure that Australia makes the most of the opportunities presented by commodity boom mark II. Our tax reforms will ensure Australians get a better return from this commodity boom, and that the proceeds aren't wasted like they were under the previous Liberal government.",1
195,195,63320_201008_195,The 30 per cent Minerals Resource Rent Tax will apply to iron ore and coal projects.,501,,,"Our tax reforms will ensure Australians get a better return from this commodity boom, and that the proceeds aren't wasted like they were under the previous Liberal government. We will get a fairer return for the Australian community from our non-renewable natural resources, through our resource rent tax framework.",7
196,196,63320_201008_196,The existing 40 per cent Petroleum Resource Rent Tax will be extended to apply to all onshore and offshore oil and gas projects.,501,,,"We will get a fairer return for the Australian community from our non-renewable natural resources, through our resource rent tax framework. The 30 per cent Minerals Resource Rent Tax will apply to iron ore and coal projects.",7
197,197,63320_201008_197,We understand that growth in the resource sector requires constant reinvestment by Governments and businesses.,402,,,The 30 per cent Minerals Resource Rent Tax will apply to iron ore and coal projects. The existing 40 per cent Petroleum Resource Rent Tax will be extended to apply to all onshore and offshore oil and gas projects.,1
198,198,63320_201008_198,"We will address potential capacity constraints in resource regions by building new and better roads, rail and ports, funded out of a $6 billion regional infrastructure fund.",411,,,The existing 40 per cent Petroleum Resource Rent Tax will be extended to apply to all onshore and offshore oil and gas projects. We understand that growth in the resource sector requires constant reinvestment by Governments and businesses.,7
199,199,63320_201008_199,The success of our resources sector can make it harder for other parts of the economy to compete.,402,,,"We understand that growth in the resource sector requires constant reinvestment by Governments and businesses. We will address potential capacity constraints in resource regions by building new and better roads, rail and ports, funded out of a $6 billion regional infrastructure fund.",1
200,200,63320_201008_200,"We will make the entire economy more competitive, through business tax reforms.",402,,,"We will address potential capacity constraints in resource regions by building new and better roads, rail and ports, funded out of a $6 billion regional infrastructure fund. The success of our resources sector can make it harder for other parts of the economy to compete.",1
201,201,63320_201008_201,"We will cut business taxes across the board, especially for small businesses who will benefit from a head start on the company tax cut.",402,,,"The success of our resources sector can make it harder for other parts of the economy to compete. We will make the entire economy more competitive, through business tax reforms.",6
202,202,63320_201008_202,"Small businesses will also be allowed to immediately write off any new business asset worth $5,000 of less, providing tax relief and simplification.",402,,,"We will make the entire economy more competitive, through business tax reforms. We will cut business taxes across the board, especially for small businesses who will benefit from a head start on the company tax cut.",7
203,203,63320_201008_203,"We will ensure we have something to show for the boom, through a range of superannuation reforms.",706,,,"We will cut business taxes across the board, especially for small businesses who will benefit from a head start on the company tax cut. Small businesses will also be allowed to immediately write off any new business asset worth $5,000 of less, providing tax relief and simplification.",3
204,204,63320_201008_204,"We will increase the superannuation guarantee to 12 per cent, extend the superannuation guarantee to older workers up to the age of 75, provide a new superannuation concession for lower income earners and expand superannuation concessions for older Australians making catch up contributions.",706,,,"Small businesses will also be allowed to immediately write off any new business asset worth $5,000 of less, providing tax relief and simplification. We will ensure we have something to show for the boom, through a range of superannuation reforms.",5
205,205,63320_201008_205,"The Government also supports savings outside of superannuation and will introduce a new 50% tax discount for up to $1,000 of interest income from saving deposits held with any bank, building society or credit union, as well as interest on bonds, debentures and annuity products.",402,,,"We will ensure we have something to show for the boom, through a range of superannuation reforms. We will increase the superannuation guarantee to 12 per cent, extend the superannuation guarantee to older workers up to the age of 75, provide a new superannuation concession for lower income earners and expand superannuation concessions for older Australians making catch up contributions.",7
206,206,63320_201008_206,The Government will simplify the tax system for businesses and individuals.,303,,,"We will increase the superannuation guarantee to 12 per cent, extend the superannuation guarantee to older workers up to the age of 75, provide a new superannuation concession for lower income earners and expand superannuation concessions for older Australians making catch up contributions. The Government also supports savings outside of superannuation and will introduce a new 50% tax discount for up to $1,000 of interest income from saving deposits held with any bank, building society or credit union, as well as interest on bonds, debentures and annuity products.",3
207,207,63320_201008_207,"Small businesses will benefit from the instant write-off of assets worth up to $5,000, and simplified depreciation of other assets.",402,,,"The Government also supports savings outside of superannuation and will introduce a new 50% tax discount for up to $1,000 of interest income from saving deposits held with any bank, building society or credit union, as well as interest on bonds, debentures and annuity products. The Government will simplify the tax system for businesses and individuals.",7
208,208,63320_201008_208,"Individual Australians will benefit from an optional standard deduction, worth $500 in 2012-13 and $1,000 from 2013-14 onwards.",402,,,"The Government will simplify the tax system for businesses and individuals. Small businesses will benefit from the instant write-off of assets worth up to $5,000, and simplified depreciation of other assets.",7
209,209,63320_201008_209,"When fully implemented it is expected that 6. 4 million individuals will be financially better off by an average of $192, simply by claiming the $1,000 standard deduction instead of going through their individual claims for work related expenses and the costs of managing their tax affairs.",402,,,"Small businesses will benefit from the instant write-off of assets worth up to $5,000, and simplified depreciation of other assets. Individual Australians will benefit from an optional standard deduction, worth $500 in 2012-13 and $1,000 from 2013-14 onwards.",7
210,210,63320_201008_210,Strengthening Australia.,,,1.0,"Individual Australians will benefit from an optional standard deduction, worth $500 in 2012-13 and $1,000 from 2013-14 onwards. When fully implemented it is expected that 6. 4 million individuals will be financially better off by an average of $192, simply by claiming the $1,000 standard deduction instead of going through their individual claims for work related expenses and the costs of managing their tax affairs.",1
211,211,63320_201008_211,Australia needs to be actively engaged in international efforts to meet the global challenges that affect us all.,107,,,"When fully implemented it is expected that 6. 4 million individuals will be financially better off by an average of $192, simply by claiming the $1,000 standard deduction instead of going through their individual claims for work related expenses and the costs of managing their tax affairs. Strengthening Australia.",1
212,212,63320_201008_212,At the heart of the Government's foreign policy and national security approach lies the responsibility to protect and defend Australia's national interests.,107,,,Strengthening Australia. Australia needs to be actively engaged in international efforts to meet the global challenges that affect us all.,1
213,213,63320_201008_213,"By having an active foreign policy and making sure our voice is heard, we can help secure the best outcomes for Australia and Australians.",107,,1.0,Australia needs to be actively engaged in international efforts to meet the global challenges that affect us all. At the heart of the Government's foreign policy and national security approach lies the responsibility to protect and defend Australia's national interests.,1
214,214,63320_201008_214,"That is why the Australian Government has taken an active role in international efforts to respond to the global financial crisis, to tackle climate change, and to help build a better future for Afghanistan.",107,,1.0,"At the heart of the Government's foreign policy and national security approach lies the responsibility to protect and defend Australia's national interests. By having an active foreign policy and making sure our voice is heard, we can help secure the best outcomes for Australia and Australians.",1
215,215,63320_201008_215,The Australian Government has:,,,1.0,"By having an active foreign policy and making sure our voice is heard, we can help secure the best outcomes for Australia and Australians. That is why the Australian Government has taken an active role in international efforts to respond to the global financial crisis, to tackle climate change, and to help build a better future for Afghanistan.",1
216,216,63320_201008_216,Rebuilt Australia's engagement with the world in the face of rapidly evolving international events as global economic and strategic weight shifts to the Asia-Pacific.,101,,1.0,"That is why the Australian Government has taken an active role in international efforts to respond to the global financial crisis, to tackle climate change, and to help build a better future for Afghanistan. The Australian Government has:",1
217,217,63320_201008_217,"Strengthened our ties with our ally the United States, with key regional partners in Asia and the Pacific and with the wider world.",101,,1.0,The Australian Government has: Rebuilt Australia's engagement with the world in the face of rapidly evolving international events as global economic and strategic weight shifts to the Asia-Pacific.,1
218,218,63320_201008_218,"Re-engaged with the United Nations in recognition of the fact that supporting a strong multilateral system is not just the right thing to do, but it is in our national interest to do so.",107,,1.0,"Rebuilt Australia's engagement with the world in the face of rapidly evolving international events as global economic and strategic weight shifts to the Asia-Pacific. Strengthened our ties with our ally the United States, with key regional partners in Asia and the Pacific and with the wider world.",1
219,219,63320_201008_219,Moved to ensure the security of our nation through long-term planning for our defence forces.,104,,1.0,"Strengthened our ties with our ally the United States, with key regional partners in Asia and the Pacific and with the wider world. Re-engaged with the United Nations in recognition of the fact that supporting a strong multilateral system is not just the right thing to do, but it is in our national interest to do so.",1
220,220,63320_201008_220,Strengthening Australia in a changing world requires building our defence forces and engaging actively in regional and global affairs.,104,,,"Re-engaged with the United Nations in recognition of the fact that supporting a strong multilateral system is not just the right thing to do, but it is in our national interest to do so. Moved to ensure the security of our nation through long-term planning for our defence forces.",1
221,221,63320_201008_221,"The defence and security of our nation, its people and their interests is the first priority of government.",104,,,Moved to ensure the security of our nation through long-term planning for our defence forces. Strengthening Australia in a changing world requires building our defence forces and engaging actively in regional and global affairs.,1
222,222,63320_201008_222,"To ensure that we can deliver this, we have undertaken long-term planning for the defence and security of our nation, including developing a Defence White Paper to chart a strategic way forward to deliver Force 2030.",104,,,"Strengthening Australia in a changing world requires building our defence forces and engaging actively in regional and global affairs. The defence and security of our nation, its people and their interests is the first priority of government.",1
223,223,63320_201008_223,We are committed to recognising and supporting the efforts of all our men and women in uniform.,104,,,"The defence and security of our nation, its people and their interests is the first priority of government. To ensure that we can deliver this, we have undertaken long-term planning for the defence and security of our nation, including developing a Defence White Paper to chart a strategic way forward to deliver Force 2030.",1
224,224,63320_201008_224,We are also working to secure Australia's future through re-energised regional and global engagement.,107,,,"To ensure that we can deliver this, we have undertaken long-term planning for the defence and security of our nation, including developing a Defence White Paper to chart a strategic way forward to deliver Force 2030. We are committed to recognising and supporting the efforts of all our men and women in uniform.",1
225,225,63320_201008_225,We are committed to building on the Labor tradition of active contribution to the world beyond our shores.,107,,,We are committed to recognising and supporting the efforts of all our men and women in uniform. We are also working to secure Australia's future through re-energised regional and global engagement.,1
226,226,63320_201008_226,And we are committed to an activist middle power diplomacy that delivers the best outcomes for Australia and Australians.,107,,,We are also working to secure Australia's future through re-energised regional and global engagement. We are committed to building on the Labor tradition of active contribution to the world beyond our shores.,1
227,227,63320_201008_227,This engagement is both about principles and the interests of our nation and its people.,107,,,We are committed to building on the Labor tradition of active contribution to the world beyond our shores. And we are committed to an activist middle power diplomacy that delivers the best outcomes for Australia and Australians.,1
228,228,63320_201008_228,"In our globalised world, we need our voice to be heard in global councils that are crafting the solutions to the challenges we face.",107,,1.0,And we are committed to an activist middle power diplomacy that delivers the best outcomes for Australia and Australians. This engagement is both about principles and the interests of our nation and its people.,1
229,229,63320_201008_229,The government has made sure this is happening.,107,,1.0,"This engagement is both about principles and the interests of our nation and its people. In our globalised world, we need our voice to be heard in global councils that are crafting the solutions to the challenges we face.",1
230,230,63320_201008_230,Major Achievements.,,,1.0,"In our globalised world, we need our voice to be heard in global councils that are crafting the solutions to the challenges we face. The government has made sure this is happening.",1
231,231,63320_201008_231,"Despite the challenges we have confronted in responding to the global economic crisis, we have injected new life into our foreign policy, allowing Australia to once again be recognised as an important and constructive regional player, and as a source of ideas and a key contributor to finding solutions to global challenges:",107,,1.0,The government has made sure this is happening. Major Achievements.,1
232,232,63320_201008_232,"1. Protecting Australia's interests in the global economic crisis: We recognised the early dangers of the global financial crisis, and ensured that Australia was a key driver of the international response through the G20 process.",107,,1.0,"Major Achievements. Despite the challenges we have confronted in responding to the global economic crisis, we have injected new life into our foreign policy, allowing Australia to once again be recognised as an important and constructive regional player, and as a source of ideas and a key contributor to finding solutions to global challenges:",1
233,233,63320_201008_233,"We used creative, active middle power diplomacy to help shape the international response to the crisis and ensure that the G20 has become the new body for tackling global economic challenges.",107,,1.0,"Despite the challenges we have confronted in responding to the global economic crisis, we have injected new life into our foreign policy, allowing Australia to once again be recognised as an important and constructive regional player, and as a source of ideas and a key contributor to finding solutions to global challenges: 1. Protecting Australia's interests in the global economic crisis: We recognised the early dangers of the global financial crisis, and ensured that Australia was a key driver of the international response through the G20 process.",1
234,234,63320_201008_234,The declaration of the G20 as the premier forum for international economic cooperation represents the most significant shift in global governance in decades.,107,,1.0,"1. Protecting Australia's interests in the global economic crisis: We recognised the early dangers of the global financial crisis, and ensured that Australia was a key driver of the international response through the G20 process. We used creative, active middle power diplomacy to help shape the international response to the crisis and ensure that the G20 has become the new body for tackling global economic challenges.",1
235,235,63320_201008_235,"For Australia, it is the most important new leaders' institution since the creation of APEC.",107,,1.0,"We used creative, active middle power diplomacy to help shape the international response to the crisis and ensure that the G20 has become the new body for tackling global economic challenges. The declaration of the G20 as the premier forum for international economic cooperation represents the most significant shift in global governance in decades.",1
236,236,63320_201008_236,"The G20 successfully addressed the global financial crisis, acting in a coordinated and immediate way to stabilise the financial sector and build confidence globally.",107,,1.0,"The declaration of the G20 as the premier forum for international economic cooperation represents the most significant shift in global governance in decades. For Australia, it is the most important new leaders' institution since the creation of APEC.",1
237,237,63320_201008_237,"2. Defence White Paper: We have delivered the first Defence White Paper in nearly a decade, which sets out a comprehensive plan for Australia's Defence out to 2030.",104,,1.0,"For Australia, it is the most important new leaders' institution since the creation of APEC. The G20 successfully addressed the global financial crisis, acting in a coordinated and immediate way to stabilise the financial sector and build confidence globally.",1
238,238,63320_201008_238,"To implement the Defence White Paper we delivered the first Defence Capability Plan since 2006, which set out over $60 billion of projects that will form the building blocks of Force 2030.",104,,1.0,"The G20 successfully addressed the global financial crisis, acting in a coordinated and immediate way to stabilise the financial sector and build confidence globally. 2. Defence White Paper: We have delivered the first Defence White Paper in nearly a decade, which sets out a comprehensive plan for Australia's Defence out to 2030.",1
239,239,63320_201008_239,Our actions will ensure that Australia has the Defence Force it needs to meet the challenges of the future - and that our defence interests are properly planned for and budgeted.,104,,,"2. Defence White Paper: We have delivered the first Defence White Paper in nearly a decade, which sets out a comprehensive plan for Australia's Defence out to 2030. To implement the Defence White Paper we delivered the first Defence Capability Plan since 2006, which set out over $60 billion of projects that will form the building blocks of Force 2030.",1
240,240,63320_201008_240,Our approach also includes a targeted Strategic Reform Program that will deliver efficiencies in the way Defence carries out its roles.,104,,,"To implement the Defence White Paper we delivered the first Defence Capability Plan since 2006, which set out over $60 billion of projects that will form the building blocks of Force 2030. Our actions will ensure that Australia has the Defence Force it needs to meet the challenges of the future - and that our defence interests are properly planned for and budgeted.",1
241,241,63320_201008_241,3. Making a contribution to international security:,,,1.0,Our actions will ensure that Australia has the Defence Force it needs to meet the challenges of the future - and that our defence interests are properly planned for and budgeted. Our approach also includes a targeted Strategic Reform Program that will deliver efficiencies in the way Defence carries out its roles.,1
