,oid,Id,sentence,Flag,context,party,year,incumbent,labels
268,268,63620_198010_268,Since July 1980 the Government has implemented or announced: - the extension of secret ballot provisions to enable individual employees to apply for a secret ballot to express their views on strike action.,1,"Building on these initiatives, in the Policy Speech the Government has announced: • Under our present policy of half tax indexation there will be a further tax cut of around $ 500 million from 1 July next year. Industrial Relations.",Liberal,1980,Liberal,1
269,269,63620_198010_269,"- legislation to facilitate the amalgamation of unions where there is ""a community of interest"".",1,Industrial Relations. Since July 1980 the Government has implemented or announced: - the extension of secret ballot provisions to enable individual employees to apply for a secret ballot to express their views on strike action.,Liberal,1980,Liberal,1
270,270,63620_198010_270,- A joint Commonwealth/State review of the arbitration system.,1,"Since July 1980 the Government has implemented or announced: - the extension of secret ballot provisions to enable individual employees to apply for a secret ballot to express their views on strike action. - legislation to facilitate the amalgamation of unions where there is ""a community of interest"".",Liberal,1980,Liberal,1
271,271,63620_198010_271,Employment and Youth Affairs.,1,"- legislation to facilitate the amalgamation of unions where there is ""a community of interest"". - A joint Commonwealth/State review of the arbitration system.",Liberal,1980,Liberal,1
272,272,63620_198010_272,"Since July 1980 the Government has implemented or announced: - a 22% boost to manpower, training and youth support programmes.",1,- A joint Commonwealth/State review of the arbitration system. employment And Youth affairs.,Liberal,1980,Liberal,1
273,273,63620_198010_273,"- increased funds for training programmes to assist 236,000 people.",1,"Employment and Youth Affairs. Since July 1980 the Government has implemented or announced: - a 22% boost to manpower, training and youth support programmes.",Liberal,1980,Liberal,1
274,274,63620_198010_274,- continued funding of the School-to-Work Transition programme.,1,"Since July 1980 the Government has implemented or announced: - a 22% boost to manpower, training and youth support programmes. - increased funds for training programmes to assist 236,000 people.",Liberal,1980,Liberal,1
275,275,63620_198010_275,- A Commonwealth Work Experience programme for secondary School students.,1,"- increased funds for training programmes to assist 236,000 people. - continued funding of the School-to-Work Transition programme.",Liberal,1980,Liberal,1
276,276,63620_198010_276,- new initiatives for trade training.,1,- continued funding of the School-to-Work Transition programme. - A Commonwealth Work Experience programme for secondary School students.,Liberal,1980,Liberal,1
277,277,63620_198010_277,- a 34% increase in the Australian Public Service intake of apprentices in 1980/81.,1,- A Commonwealth Work Experience programme for secondary School students. - new initiatives for trade training.,Liberal,1980,Liberal,1
278,278,63620_198010_278,- extra support for the Occupational Information programme.,1,- new initiatives for trade training. - a 34% increase in the Australian Public Service intake of apprentices in 1980/81.,Liberal,1980,Liberal,1
279,279,63620_198010_279,- A campaign for Work And training opportunities for disabled people in support of the International year of the Disabled.,1,- a 34% increase in the Australian Public Service intake of apprentices in 1980/81. - extra support for the Occupational Information programme.,Liberal,1980,Liberal,1
280,280,63620_198010_280,- International Youth Exchange programme with South Pacific countries.,1,- extra support for the Occupational Information programme. - A campaign for Work And training opportunities for disabled people in support of the International year of the Disabled.,Liberal,1980,Liberal,1
281,281,63620_198010_281,"- a $500,000 programme of assistance to youth organisations.",1,- A campaign for Work And training opportunities for disabled people in support of the International year of the Disabled. - International Youth Exchange programme with South Pacific countries.,Liberal,1980,Liberal,1
282,282,63620_198010_282,"Building on these initiatives, in the Policy Speech the Government has announced: - a transition allowance to encourage young people to undertake fulltime training; a higher subsidy for young unemployed for training under SYETP; development of special counselling services for young unemployed ($25 million in a full year).",0,"- International Youth Exchange programme with South Pacific countries. - a $500,000 programme of assistance to youth organisations.",Liberal,1980,Liberal,7
283,283,63620_198010_283,- expansion of the Australian Volunteers Abroad programme.,0,"- a $500,000 programme of assistance to youth organisations. Building on these initiatives, in the Policy Speech the Government has announced: - a transition allowance to encourage young people to undertake fulltime training; a higher subsidy for young unemployed for training under SYETP; development of special counselling services for young unemployed ($25 million in a full year).",Liberal,1980,Liberal,1
284,284,63620_198010_284,HARNESSING OUR RESOURCES.,1,"Building on these initiatives, in the Policy Speech the Government has announced: - a transition allowance to encourage young people to undertake fulltime training; a higher subsidy for young unemployed for training under SYETP; development of special counselling services for young unemployed ($25 million in a full year). - expansion of the Australian Volunteers Abroad programme.",Liberal,1980,Liberal,1
285,285,63620_198010_285,"A balanced programme that develops our resources - minerals, energy reserves and farmlands - will not only create the maximum opportunities for Australians now, but will also conserve those resources and our environment for the future.",0,- expansion of the Australian Volunteers Abroad programme. HARNESSING Our RESOURCES.,Liberal,1980,Liberal,6
286,286,63620_198010_286,National Development and Energy.,1,"HARNESSING OUR RESOURCES. A balanced programme that develops our resources - minerals, energy reserves and farmlands - will not only create the maximum opportunities for Australians now, but will also conserve those resources and our environment for the future.",Liberal,1980,Liberal,1
287,287,63620_198010_287,Since July 1980 the Government has implemented or announced: - a 50% increase in funding for alternative energy research.,1,"A balanced programme that develops our resources - minerals, energy reserves and farmlands - will not only create the maximum opportunities for Australians now, but will also conserve those resources and our environment for the future. National Development and Energy.",Liberal,1980,Liberal,1
288,288,63620_198010_288,- a $52m increase in the petroleum products freight subsidy to assist rural areas.,1,National Development and Energy. Since July 1980 the Government has implemented or announced: - a 50% increase in funding for alternative energy research.,Liberal,1980,Liberal,1
289,289,63620_198010_289,- commitment to funding construction of the Burdekin Dam in Queensland.,1,Since July 1980 the Government has implemented or announced: - a 50% increase in funding for alternative energy research. - a $52m increase in the petroleum products freight subsidy to assist rural areas.,Liberal,1980,Liberal,1
290,290,63620_198010_290,"Building on these initiatives, in the Policy Speech the Government has announced: - taxation concessions to encourage the storage of liquid fuel ($10 million in 1981/82).",0,- a $52m increase in the petroleum products freight subsidy to assist rural areas. - commitment to funding construction of the Burdekin Dam in Queensland.,Liberal,1980,Liberal,7
291,291,63620_198010_291,- the extension of the $ 80 per tonne LPG subsidy for household use to traditional users in decentralised industries ($8-10 million per year).,0,"- commitment to funding construction of the Burdekin Dam in Queensland. Building on these initiatives, in the Policy Speech the Government has announced: - taxation concessions to encourage the storage of liquid fuel ($10 million in 1981/82).",Liberal,1980,Liberal,7
292,292,63620_198010_292,- that it will encourage the States to give special assistance to local Government authorities in remote areas which generate electricity from diesel fuel.,0,"Building on these initiatives, in the Policy Speech the Government has announced: - taxation concessions to encourage the storage of liquid fuel ($10 million in 1981/82). - the extension of the $ 80 per tonne LPG subsidy for household use to traditional users in decentralised industries ($8-10 million per year).",Liberal,1980,Liberal,1
293,293,63620_198010_293,- $3 million for the States in 1981/82 for soil conservation purposes.,0,- the extension of the $ 80 per tonne LPG subsidy for household use to traditional users in decentralised industries ($8-10 million per year). - that it will encourage the States to give special assistance to local Government authorities in remote areas which generate electricity from diesel fuel.,Liberal,1980,Liberal,3
294,294,63620_198010_294,- additional funds through the Commonwealth extension Services Grants Scheme to improve access to Information on fuel saving technology And equipment.,0,- that it will encourage the States to give special assistance to local Government authorities in remote areas which generate electricity from diesel fuel. - $3 million for the States in 1981/82 for soil conservation purposes.,Liberal,1980,Liberal,6
295,295,63620_198010_295,Industry and Commerce.,1,- $3 million for the States in 1981/82 for soil conservation purposes. - additional funds through the Commonwealth extension Services Grants Scheme to improve access to Information on fuel saving technology And equipment.,Liberal,1980,Liberal,1
296,296,63620_198010_296,Since July 1980 the Government has implemented or announced: - a 27% increase in Government assistance to manufacturing industry.,1,- additional funds through the Commonwealth extension Services Grants Scheme to improve access to Information on fuel saving technology And equipment. Industry And Commerce.,Liberal,1980,Liberal,1
297,297,63620_198010_297,- a 20% loading to existing depreciation rates for plant.,1,Industry and Commerce. Since July 1980 the Government has implemented or announced: - a 27% increase in Government assistance to manufacturing industry.,Liberal,1980,Liberal,1
298,298,63620_198010_298,- a 55% increase in industrial research and development funding.,1,Since July 1980 the Government has implemented or announced: - a 27% increase in Government assistance to manufacturing industry. - a 20% loading to existing depreciation rates for plant.,Liberal,1980,Liberal,1
299,299,63620_198010_299,- increased funds for export assistance.,1,- a 20% loading to existing depreciation rates for plant. - a 55% increase in industrial research and development funding.,Liberal,1980,Liberal,1
300,300,63620_198010_300,"- self-employed superannuation up to $1,200 per annum to be tax deductible.",1,- a 55% increase in industrial research and development funding. - increased funds for export assistance.,Liberal,1980,Liberal,1
301,301,63620_198010_301,- legislation to protect licensee And lessee petrol retailers.,1,"- increased funds for export assistance. - self-employed superannuation up to $1,200 per annum to be tax deductible.",Liberal,1980,Liberal,1
302,302,63620_198010_302,- A PJT inquiry into petrol product prices.,1,"- self-employed superannuation up to $1,200 per annum to be tax deductible. - legislation to protect licensee And lessee petrol retailers.",Liberal,1980,Liberal,1
303,303,63620_198010_303,"- A commitment to protecting jobs in textiles, clothing And footwear industries And A new programme of assistance including bounties, duties, quotas And tariffs.",1,- legislation to protect licensee And lessee petrol retailers. - A PJT inquiry into petrol product prices.,Liberal,1980,Liberal,1
304,304,63620_198010_304,- a National Tourism Outlook Conference to be held in 1981.,1,"- A PJT inquiry into petrol product prices. - A commitment to protecting jobs in textiles, clothing And footwear industries And A new programme of assistance including bounties, duties, quotas And tariffs.",Liberal,1980,Liberal,1
305,305,63620_198010_305,"Building on these initiatives, in the Policy Speech the Government has announced: - extension of the private company retention allowance during the life of the next Parliament.",0,"- A commitment to protecting jobs in textiles, clothing And footwear industries And A new programme of assistance including bounties, duties, quotas And tariffs. - a National Tourism Outlook Conference to be held in 1981.",Liberal,1980,Liberal,2
306,306,63620_198010_306,- removal of the present specific exclusion from the investment allowance of plant for use in connection with amusement or recreation ($5 million).,0,"- a National Tourism Outlook Conference to be held in 1981. Building on these initiatives, in the Policy Speech the Government has announced: - extension of the private company retention allowance during the life of the next Parliament.",Liberal,1980,Liberal,6
307,307,63620_198010_307,Primary Industry.,1,"Building on these initiatives, in the Policy Speech the Government has announced: - extension of the private company retention allowance during the life of the next Parliament. - removal of the present specific exclusion from the investment allowance of plant for use in connection with amusement or recreation ($5 million).",Liberal,1980,Liberal,1
308,308,63620_198010_308,In the Policy Speech the Government has announced: - tax concessions for capital costs involved in connecting mains electricity in rural and remote areas ($5 million).,0,- removal of the present specific exclusion from the investment allowance of plant for use in connection with amusement or recreation ($5 million). Primary Industry.,Liberal,1980,Liberal,6
309,309,63620_198010_309,- three year funding of the Primary Industry Bank's operations.,0,Primary Industry. In the Policy Speech the Government has announced: - tax concessions for capital costs involved in connecting mains electricity in rural and remote areas ($5 million).,Liberal,1980,Liberal,1
310,310,63620_198010_310,- tax concessions to compensate for the cost of private electricity generation in country areas (up to $5 million).,0,In the Policy Speech the Government has announced: - tax concessions for capital costs involved in connecting mains electricity in rural and remote areas ($5 million). - three year funding of the Primary Industry Bank's operations.,Liberal,1980,Liberal,3
311,311,63620_198010_311,"- special depreciation allowance for new machinery used in agricultural, pastoral and forestry operations - also to apply to the purchase of new vessels in the fishing industry ($ 7 million).",0,- three year funding of the Primary Industry Bank's operations. - tax concessions to compensate for the cost of private electricity generation in country areas (up to $5 million).,Liberal,1980,Liberal,2
312,312,63620_198010_312,- Government financial support for wool promotion on A three year basis.,0,"- tax concessions to compensate for the cost of private electricity generation in country areas (up to $5 million). - special depreciation allowance for new machinery used in agricultural, pastoral and forestry operations - also to apply to the purchase of new vessels in the fishing industry ($ 7 million).",Liberal,1980,Liberal,1
313,313,63620_198010_313,- full tax deductibility of capital expenditure on soil conservation by a primary producer ($1 million).,0,"- special depreciation allowance for new machinery used in agricultural, pastoral and forestry operations - also to apply to the purchase of new vessels in the fishing industry ($ 7 million). - Government financial support for wool promotion on A three year basis.",Liberal,1980,Liberal,3
314,314,63620_198010_314,"- maintaining concessions for farmers for full write-off of the cost of providing bores, dams And reticulation facilities.",0,- Government financial support for wool promotion on A three year basis. - full tax deductibility of capital expenditure on soil conservation by a primary producer ($1 million).,Liberal,1980,Liberal,6
315,315,63620_198010_315,- withdrawals from IEDs can be made up to 31 August.,0,"- full tax deductibility of capital expenditure on soil conservation by a primary producer ($1 million). - maintaining concessions for farmers for full write-off of the cost of providing bores, dams And reticulation facilities.",Liberal,1980,Liberal,1
316,316,63620_198010_316,Transport.,1,"- maintaining concessions for farmers for full write-off of the cost of providing bores, dams And reticulation facilities. - withdrawals from IEDs can be made up to 31 August.",Liberal,1980,Liberal,1
317,317,63620_198010_317,Since July 1980 the Government has implemented or announced: - signature of a new Two Airline Agreement encouraging greater competition between TAA/Ansett and allowing regional airlines to operate over sections of domestic trunk routes.,1,- withdrawals from IEDs can be made up to 31 August. Transport.,Liberal,1980,Liberal,1
318,318,63620_198010_318,- an inquiry into domestic airfares.,1,Transport. Since July 1980 the Government has implemented or announced: - signature of a new Two Airline Agreement encouraging greater competition between TAA/Ansett and allowing regional airlines to operate over sections of domestic trunk routes.,Liberal,1980,Liberal,1
319,319,63620_198010_319,- a $145 million major airport development programme.,1,Since July 1980 the Government has implemented or announced: - signature of a new Two Airline Agreement encouraging greater competition between TAA/Ansett and allowing regional airlines to operate over sections of domestic trunk routes. - an inquiry into domestic airfares.,Liberal,1980,Liberal,1
320,320,63620_198010_320,- a Hobart/Christchurch airlink by Ansett/TAA (awaiting New Zealand Government approval).,1,- an inquiry into domestic airfares. - a $145 million major airport development programme.,Liberal,1980,Liberal,1
321,321,63620_198010_321,"- the introduction of International air Services from Townsville to Honolulu, Los Angeles And new Zealand.",1,- a $145 million major airport development programme. - a Hobart/Christchurch airlink by Ansett/TAA (awaiting New Zealand Government approval).,Liberal,1980,Liberal,1
322,322,63620_198010_322,- signature of an agreement with South Australia to enable the Adelaide/Crystal Brook railway standardisation project to commence.,1,"- a Hobart/Christchurch airlink by Ansett/TAA (awaiting New Zealand Government approval). - the introduction of International air Services from Townsville to Honolulu, Los Angeles And new Zealand.",Liberal,1980,Liberal,1
323,323,63620_198010_323,"- an allocation of $3,650 million to the States, the Northern Territory and local government over the next five years for roads.",1,"- the introduction of International air Services from Townsville to Honolulu, Los Angeles And new Zealand. - signature of an agreement with South Australia to enable the Adelaide/Crystal Brook railway standardisation project to commence.",Liberal,1980,Liberal,1
324,324,63620_198010_324,- $30 million for Tasmanian Freight Equalisation in 1980/81.,1,"- signature of an agreement with South Australia to enable the Adelaide/Crystal Brook railway standardisation project to commence. - an allocation of $3,650 million to the States, the Northern Territory and local government over the next five years for roads.",Liberal,1980,Liberal,1
325,325,63620_198010_325,"Building on these initiatives, in the Policy Speech the Government has announced: - a firm commitment of $ 10 million for the first stage of the construction of the Alice Springs/Darwin railway and the provision of funds to complete the railway within ten years.",0,"- an allocation of $3,650 million to the States, the Northern Territory and local government over the next five years for roads. - $30 million for Tasmanian Freight Equalisation in 1980/81.",Liberal,1980,Liberal,7
326,326,63620_198010_326,Post and Telecommunications.,0,"- $30 million for Tasmanian Freight Equalisation in 1980/81. Building on these initiatives, in the Policy Speech the Government has announced: - a firm commitment of $ 10 million for the first stage of the construction of the Alice Springs/Darwin railway and the provision of funds to complete the railway within ten years.",Liberal,1980,Liberal,1
327,327,63620_198010_327,Since July 1980 the Government has implemented or announced: - a commitment to cable and subscription TV.,0,"Building on these initiatives, in the Policy Speech the Government has announced: - a firm commitment of $ 10 million for the first stage of the construction of the Alice Springs/Darwin railway and the provision of funds to complete the railway within ten years. Post and Telecommunications.",Liberal,1980,Liberal,2
328,328,63620_198010_328,- increased funds for the ABC in 1980/81.,0,Post and Telecommunications. Since July 1980 the Government has implemented or announced: - a commitment to cable and subscription TV.,Liberal,1980,Liberal,6
329,329,63620_198010_329,- commencement of multicultural TV Services in Sydney And Melbourne.,0,Since July 1980 the Government has implemented or announced: - a commitment to cable and subscription TV. - increased funds for the ABC in 1980/81.,Liberal,1980,Liberal,6
330,330,63620_198010_330,- continuing reductions in A range of telephone call charges.,0,- increased funds for the ABC in 1980/81. - commencement of multicultural TV Services in Sydney And Melbourne.,Liberal,1980,Liberal,4
331,331,63620_198010_331,- tendering for the domestic satellite.,0,- commencement of multicultural TV Services in Sydney And Melbourne. - continuing reductions in A range of telephone call charges.,Liberal,1980,Liberal,1
332,332,63620_198010_332,Science and Environment.,1,- continuing reductions in A range of telephone call charges. - tendering for the domestic satellite.,Liberal,1980,Liberal,1
333,333,63620_198010_333,Since July 1980 the Government has implemented or announced: - approval for a $52 million rebuilding programme in the Antarctic over 10 years.,1,- tendering for the domestic satellite. Science And environment.,Liberal,1980,Liberal,1
334,334,63620_198010_334,- the nomination of the Great Barrier Reef for the world Heritage list.,1,Science and Environment. Since July 1980 the Government has implemented or announced: - approval for a $52 million rebuilding programme in the Antarctic over 10 years.,Liberal,1980,Liberal,1
335,335,63620_198010_335,- initial allocation for construction of oceanographic vessel.,1,Since July 1980 the Government has implemented or announced: - approval for a $52 million rebuilding programme in the Antarctic over 10 years. - the nomination of the Great Barrier Reef for the world Heritage list.,Liberal,1980,Liberal,1
336,336,63620_198010_336,- $16 million for Australian scientific research.,1,- the nomination of the Great Barrier Reef for the world Heritage list. - initial allocation for construction of oceanographic vessel.,Liberal,1980,Liberal,1
337,337,63620_198010_337,- development of A national conservation Strategy in co-operation with the States And the Northern Territory.,1,- initial allocation for construction of oceanographic vessel. - $16 million for Australian scientific research.,Liberal,1980,Liberal,1
338,338,63620_198010_338,POLICIES FOR PEOPLE.,1,- $16 million for Australian scientific research. - development of A National conservation Strategy in co-operation with the States And the Northern Territory.,Liberal,1980,Liberal,1
339,339,63620_198010_339,"Helping people to become home owners, improving the standards of our children's education, and concentrating health and welfare services on the effective support of those most in need is the best way to support family life in Australia.",0,- development of A national conservation Strategy in co-operation with the States And the Northern Territory. policies for PEOPLE.,Liberal,1980,Liberal,1
340,340,63620_198010_340,Education.,1,"POLICIES FOR PEOPLE. Helping people to become home owners, improving the standards of our children's education, and concentrating health and welfare services on the effective support of those most in need is the best way to support family life in Australia.",Liberal,1980,Liberal,1
341,341,63620_198010_341,Since July 1980 the Government has implemented or announced: - a 3.2% increase in real terms in spending on schools in 1981.,1,"Helping people to become home owners, improving the standards of our children's education, and concentrating health and welfare services on the effective support of those most in need is the best way to support family life in Australia. Education.",Liberal,1980,Liberal,1
342,342,63620_198010_342,- a 20% increase in major allowances under the Secondary Allowance and Assistance for Isolated Children Schemes.,1,Education. Since July 1980 the Government has implemented or announced: - a 3.2% increase in real terms in spending on schools in 1981.,Liberal,1980,Liberal,1
343,343,63620_198010_343,- $23 million for the Disadvantaged Schools Programme to improve standards.,1,Since July 1980 the Government has implemented or announced: - a 3.2% increase in real terms in spending on schools in 1981. - a 20% increase in major allowances under the Secondary Allowance and Assistance for Isolated Children Schemes.,Liberal,1980,Liberal,1
344,344,63620_198010_344,- a 10% increase in Tertiary Education Allowances.,1,- a 20% increase in major allowances under the Secondary Allowance and Assistance for Isolated Children Schemes. - $23 million for the Disadvantaged Schools Programme to improve standards.,Liberal,1980,Liberal,1
345,345,63620_198010_345,"Building on these initiatives, in the Policy Speech the Government has announced: - increased emphasis on vocational and technical education.",0,- $23 million for the Disadvantaged Schools Programme to improve standards. - a 10% increase in Tertiary Education Allowances.,Liberal,1980,Liberal,1
346,346,63620_198010_346,- additional capital grants of $25 million over three years (1981-83) for nongovernment schools in the States and NT for the provision of new places.,0,"- a 10% increase in Tertiary Education Allowances. Building on these initiatives, in the Policy Speech the Government has announced: - increased emphasis on vocational and technical education.",Liberal,1980,Liberal,7
347,347,63620_198010_347,- compression of the existing six levels of non-government schools to three levels in the life of the next Parliament ($ 5.8 million over three years).,0,"Building on these initiatives, in the Policy Speech the Government has announced: - increased emphasis on vocational and technical education. - additional capital grants of $25 million over three years (1981-83) for nongovernment schools in the States and NT for the provision of new places.",Liberal,1980,Liberal,6
348,348,63620_198010_348,- an increase in the per capita grants to Level 6 non-government schools to 40 % of overall government schools standard running costs in the life of the next Parliament ($44.8 million a year by the third year).,0,- additional capital grants of $25 million over three years (1981-83) for nongovernment schools in the States and NT for the provision of new places. - compression of the existing six levels of non-government schools to three levels in the life of the next Parliament ($ 5.8 million over three years).,Liberal,1980,Liberal,7
349,349,63620_198010_349,- an additional $ 2 million a year for the Schools Commission from 1981 to develop educational programmes for severely handicapped children.,0,- compression of the existing six levels of non-government schools to three levels in the life of the next Parliament ($ 5.8 million over three years). - an increase in the per capita grants to Level 6 non-government schools to 40 % of overall government schools standard running costs in the life of the next Parliament ($44.8 million a year by the third year).,Liberal,1980,Liberal,6
350,350,63620_198010_350,"- commencement of a $4 million, three year pilot programme, to provide on loan video facilities to isolated students in areas without regular television services, commencing with School of the Air students.",0,- an increase in the per capita grants to Level 6 non-government schools to 40 % of overall government schools standard running costs in the life of the next Parliament ($44.8 million a year by the third year). - an additional $ 2 million a year for the Schools Commission from 1981 to develop educational programmes for severely handicapped children.,Liberal,1980,Liberal,7
351,351,63620_198010_351,- an increase in the basic boarding allowance under the Assistance to Isolated Children Scheme to $780 a year from 1981 ($2.7 million in a full year).,0,"- an additional $ 2 million a year for the Schools Commission from 1981 to develop educational programmes for severely handicapped children. - commencement of a $4 million, three year pilot programme, to provide on loan video facilities to isolated students in areas without regular television services, commencing with School of the Air students.",Liberal,1980,Liberal,7
352,352,63620_198010_352,"- a per capita grant of $ 30 a pupil a year for two years to non-profit making ethnic part-time schools, provided they have an open entry policy ($3 million).",0,"- commencement of a $4 million, three year pilot programme, to provide on loan video facilities to isolated students in areas without regular television services, commencing with School of the Air students. - an increase in the basic boarding allowance under the Assistance to Isolated Children Scheme to $780 a year from 1981 ($2.7 million in a full year).",Liberal,1980,Liberal,6
353,353,63620_198010_353,"- $ 1 million for the establishment of Research Centres of Excellence in a number of universities in 1981, and allocation of a further $15 million during the 1982-84 triennium.",0,"- an increase in the basic boarding allowance under the Assistance to Isolated Children Scheme to $780 a year from 1981 ($2.7 million in a full year). - a per capita grant of $ 30 a pupil a year for two years to non-profit making ethnic part-time schools, provided they have an open entry policy ($3 million).",Liberal,1980,Liberal,6
354,354,63620_198010_354,- additional funds for the Tertiary Education Commission to support the establishment of courses in community languages in universities end/or CAEs.,0,"- a per capita grant of $ 30 a pupil a year for two years to non-profit making ethnic part-time schools, provided they have an open entry policy ($3 million). - $ 1 million for the establishment of Research Centres of Excellence in a number of universities in 1981, and allocation of a further $15 million during the 1982-84 triennium.",Liberal,1980,Liberal,1
355,355,63620_198010_355,Housing.,1,"- $ 1 million for the establishment of Research Centres of Excellence in a number of universities in 1981, and allocation of a further $15 million during the 1982-84 triennium. - additional funds for the Tertiary Education Commission to support the establishment of courses in community languages in universities end/or CAEs.",Liberal,1980,Liberal,1
356,356,63620_198010_356,Since July 1980 the Government has implemented or announced: - a major forward commitment for welfare housing with the States involving a Commonwealth guarantee of a base funding level of $200 million a year for five years from July 1981.,1,- additional funds for the Tertiary Education Commission to support the establishment of courses in community languages in universities end/or CAEs. Housing.,Liberal,1980,Liberal,1
357,357,63620_198010_357,- A significant increase in home value limits under the home Savings Grants Scheme.,1,Housing. Since July 1980 the Government has implemented or announced: - a major forward commitment for welfare housing with the States involving a Commonwealth guarantee of a base funding level of $200 million a year for five years from July 1981.,Liberal,1980,Liberal,1
358,358,63620_198010_358,"Building on these initiatives, in the Policy Speech the Government has announced: Further improvements to the Home Savings Grants Scheme, involving a full year cost of $25 million and to apply from 1 October 1980, include: - a family bonus of $500 for families with one dependent child and $ 1,000 for families with two or more dependent children.",0,Since July 1980 the Government has implemented or announced: - a major forward commitment for welfare housing with the States involving a Commonwealth guarantee of a base funding level of $200 million a year for five years from July 1981. - A significant increase in home value limits under the home Savings Grants Scheme.,Liberal,1980,Liberal,7
359,359,63620_198010_359,"This would increase the maximum grant to $ 2,500 for families with one child and to $3,000 for families with two or more children.",0,"- A significant increase in home value limits under the home Savings Grants Scheme. Building on these initiatives, in the Policy Speech the Government has announced: Further improvements to the Home Savings Grants Scheme, involving a full year cost of $25 million and to apply from 1 October 1980, include: - a family bonus of $500 for families with one dependent child and $ 1,000 for families with two or more dependent children.",Liberal,1980,Liberal,7
360,360,63620_198010_360,"- an increase in the value of homes on which the maximum grant is obtainable to $60,000 reducing to nil grant at a value of $ 70,000.",0,"Building on these initiatives, in the Policy Speech the Government has announced: Further improvements to the Home Savings Grants Scheme, involving a full year cost of $25 million and to apply from 1 October 1980, include: - a family bonus of $500 for families with one dependent child and $ 1,000 for families with two or more dependent children. This would increase the maximum grant to $ 2,500 for families with one child and to $3,000 for families with two or more children.",Liberal,1980,Liberal,7
361,361,63620_198010_361,- widening of the forms of Savings acceptable for the grant.,0,"This would increase the maximum grant to $ 2,500 for families with one child and to $3,000 for families with two or more children. - an increase in the value of homes on which the maximum grant is obtainable to $60,000 reducing to nil grant at a value of $ 70,000.",Liberal,1980,Liberal,1
362,362,63620_198010_362,Full tax deductibility of home insulation costs for a person's first home where that home was purchased or where construction commenced after I October 1980 ($5 million in a full year).,0,"- an increase in the value of homes on which the maximum grant is obtainable to $60,000 reducing to nil grant at a value of $ 70,000. - widening of the forms of Savings acceptable for the grant.",Liberal,1980,Liberal,1
363,363,63620_198010_363,Health.,1,- widening of the forms of Savings acceptable for the grant. Full tax deductibility of home insulation costs for a person's first home where that home was purchased or where construction commenced after I October 1980 ($5 million in a full year).,Liberal,1980,Liberal,1
364,364,63620_198010_364,Since July 1980 the Government has implemented or announced: a 30% rise in funds for Medical Research.,1,Full tax deductibility of home insulation costs for a person's first home where that home was purchased or where construction commenced after I October 1980 ($5 million in a full year). Health.,Liberal,1980,Liberal,1
365,365,63620_198010_365,an additional $75m for the Hospital Benefits Reinsurance Fund.,1,Health. Since July 1980 the Government has implemented or announced: a 30% rise in funds for Medical Research.,Liberal,1980,Liberal,1
366,366,63620_198010_366,an increase in the Domiciliary Nursing Care Benefit from $2 to $3 a day.,1,Since July 1980 the Government has implemented or announced: a 30% rise in funds for Medical Research. an additional $75m for the Hospital Benefits Reinsurance Fund.,Liberal,1980,Liberal,1
367,367,63620_198010_367,"a new programme of ""aids for daily living"" for the disabled.",1,an additional $75m for the Hospital Benefits Reinsurance Fund. an increase in the Domiciliary Nursing Care Benefit from $2 to $3 a day.,Liberal,1980,Liberal,1
368,368,63620_198010_368,improvements to the Isolated Patients Travel and Accommodation Assistance Scheme.,1,"an increase in the Domiciliary Nursing Care Benefit from $2 to $3 a day. a new programme of ""aids for daily living"" for the disabled.",Liberal,1980,Liberal,1
369,369,63620_198010_369,"Building on these initiatives, in the Policy Speech the Government has announced: - that it will join with the Victorian Government in the construction of a new building for the Walter and Eliza Hall Institute (Commonwealth share: $11.25 million).",0,"a new programme of ""aids for daily living"" for the disabled. improvements to the Isolated Patients Travel and Accommodation Assistance Scheme.",Liberal,1980,Liberal,6
370,370,63620_198010_370,"- an additional $ 500,000 for continuation of the national development of the ""help yourself"" health promotion campaign - an additional $ 200,000 support for alcohol and drug abuse rehabilitation.",0,"improvements to the Isolated Patients Travel and Accommodation Assistance Scheme. Building on these initiatives, in the Policy Speech the Government has announced: - that it will join with the Victorian Government in the construction of a new building for the Walter and Eliza Hall Institute (Commonwealth share: $11.25 million).",Liberal,1980,Liberal,5
371,371,63620_198010_371,"- in line with a previous commitment, benefits will be increased from the first pension pay day in November to cover the cost of fees for 70% of patients in non-Government nursing homes.",0,"Building on these initiatives, in the Policy Speech the Government has announced: - that it will join with the Victorian Government in the construction of a new building for the Walter and Eliza Hall Institute (Commonwealth share: $11.25 million). - an additional $ 500,000 for continuation of the national development of the ""help yourself"" health promotion campaign - an additional $ 200,000 support for alcohol and drug abuse rehabilitation.",Liberal,1980,Liberal,6
372,372,63620_198010_372,Welfare.,1,"- an additional $ 500,000 for continuation of the national development of the ""help yourself"" health promotion campaign - an additional $ 200,000 support for alcohol and drug abuse rehabilitation. - in line with a previous commitment, benefits will be increased from the first pension pay day in November to cover the cost of fees for 70% of patients in non-Government nursing homes.",Liberal,1980,Liberal,1
373,373,63620_198010_373,Since July 1980 the Government has implemented or announced: - an increase in spending to $9.9 billion in 1980/81.,1,"- in line with a previous commitment, benefits will be increased from the first pension pay day in November to cover the cost of fees for 70% of patients in non-Government nursing homes. Welfare.",Liberal,1980,Liberal,1
